TMP_average,flow_feed,conductivity,RTS,temp_average,flux
56436.707,0.009537027,4.599487,8.717084,291.6736,1.5113221694459272e-06
56445.082,0.009535084,4.602402,8.7156925,291.67236,1.5470758033727165e-06
56453.465,0.009533944,4.6096916,8.714301,291.67117,1.5055598726722574e-06
56461.844,0.009532804,4.6180563,8.712909,291.66995,1.548856836895004e-06
56470.22,0.009532441,4.6264215,8.711518,291.66876,1.536061250968891e-06
56478.6,0.009532227,4.634786,8.710126,291.6677,1.4840160540125722e-06
56486.977,0.009531605,4.643151,8.7087345,291.6668,1.5329221578186031e-06
56495.355,0.0095303925,4.6515155,8.707343,291.66595,1.5309671188049856e-06
56503.734,0.009529034,4.6598806,8.705951,291.66507,1.4845941599372943e-06
56512.11,0.009527675,4.6738377,8.704559,291.6642,1.5318306323886444e-06
56520.492,0.009525556,4.6848607,8.703168,291.66333,1.516659498813147e-06
56528.87,0.009511817,4.692328,8.7017765,291.66254,1.5000209082094033e-06
56537.246,0.009486762,4.699795,8.700385,291.66205,1.5160650665585472e-06
56545.625,0.009462373,4.707262,8.698994,291.6615,1.5140203791037117e-06
56554.008,0.009439541,4.7117424,8.697601,291.661,1.502796088478127e-06
56562.383,0.009415557,4.7117424,8.696211,291.66046,1.4709883488231376e-06
56570.76,0.009388211,4.7117424,8.694819,291.65997,1.4571389010094685e-06
56579.12,0.0093695,4.7095556,8.693427,291.6597,1.4881404654028761e-06
56587.457,0.0093891425,4.702266,8.692035,291.6597,1.5282470017220392e-06
56595.793,0.009409015,4.6983705,8.690643,291.6597,1.4869193385798237e-06
56604.13,0.009428659,4.6948514,8.689252,291.65973,1.504012443026365e-06
56612.46,0.009448247,4.6913323,8.6878605,291.65973,1.4859072310632737e-06
56620.797,0.009467835,4.683482,8.686469,291.65973,1.494617515284319e-06
56569.88,0.009486802,4.677159,8.685078,291.65967,1.517175711216201e-06
56430.07,0.009475003,4.6714892,8.683685,291.65915,1.4756199875586607e-06
56290.254,0.0094601335,4.6658196,8.682294,291.65866,1.4962612474107001e-06
